ID,class
10000,82
10001,62
10002,36
10003,62
10004,82
10005,71
10006,6
10007,91
10008,21
10009,36
10010,86
10011,54
10012,8
10013,78
10014,36
10015,3
10016,91
10017,40
10018,54
10019,6
10020,35
10021,62
10022,54
10023,19
10024,82
10025,2
10026,40
10027,71
10028,78
10029,4
10030,84
10031,2
10032,40
10033,61
10034,51
10035,54
10036,54
10037,45
10038,17
10039,88
10040,91
10041,44
10042,81
10043,78
10044,80
10045,14
10046,98
10047,70
10048,82
10049,5
10050,31
10051,40
10052,93
10053,17
10054,40
10055,7
10056,28
10057,19
10058,1
10059,78
10060,15
10061,22
10062,15
10063,54
10064,56
10065,2
10066,56
10067,82
10068,54
10069,14
10070,65
10071,51
10072,35
10073,48
10074,82
10075,54
10076,56
10077,40
10078,45
10079,8
10080,11
10081,82
10082,12
10083,82
10084,48
10085,19
10086,89
10087,16
10088,6
10089,62
10090,16
10091,77
10092,67
10093,54
10094,93
10095,67
10096,31
10097,20
10098,77
10099,61
10100,20
10101,31
10102,64
10103,54
10104,86
10105,7
10106,20
10107,7
10108,44
10109,78
10110,36
10111,19
10112,20
10113,54
10114,44
10115,71
10116,82
10117,18
10118,15
10119,82
10120,37
10121,62
10122,71
10123,6
10124,51
10125,51
10126,93
10127,19
10128,45
10129,88
10130,54
10131,93
10132,15
10133,62
10134,6
10135,89
10136,7
10137,91
10138,11
10139,19
10140,21
10141,42
10142,45
10143,7
10144,56
10145,3
10146,39
10147,28
10148,20
10149,52
10150,44
10151,62
10152,3
10153,77
10154,16
10155,45
10156,19
10157,71
10158,6
10159,16
10160,13
10161,6
10162,8
10163,19
10164,11
10165,91
10166,19
10167,11
10168,62
10169,3
10170,21
10171,62
10172,59
10173,3
10174,57
10175,21
10176,6
10177,62
10178,25
10179,16
10180,93
10181,98
10182,3
10183,22
10184,14
10185,17
10186,47
10187,11
10188,23
10189,75
10190,54
10191,84
10192,83
10193,4
10194,19
10195,51
10196,74
10197,54
10198,25
10199,45
10200,57
10201,16
10202,20
10203,91
10204,45
10205,3
10206,51
10207,31
10208,15
10209,91
10210,91
10211,48
10212,54
10213,64
10214,67
10215,40
10216,34
10217,54
10218,65
10219,62
10220,6
10221,91
10222,82
10223,61
10224,19
10225,71
10226,57
10227,82
10228,8
10229,33
10230,53
10231,82
10232,77
10233,51
10234,56
10235,20
10236,54
10237,40
10238,64
10239,62
10240,82
10241,20
10242,11
10243,42
10244,98
10245,77
10246,3
10247,34
10248,56
10249,54
10250,54
10251,6
10252,8
10253,6
10254,20
10255,21
10256,35
10257,2
10258,11
10259,23
10260,40
10261,83
10262,57
10263,5
10264,81
10265,91
10266,42
10267,91
10268,0
10269,16
10270,16
10271,19
10272,16
10273,7
10274,66
10275,51
10276,11
10277,40
10278,23
10279,14
10280,91
10281,40
10282,1
10283,91
10284,74
10285,81
10286,23
10287,52
10288,56
10289,52
10290,57
10291,77
10292,86
10293,20
10294,15
10295,3
10296,62
10297,62
10298,45
10299,6
10300,57
10301,6
10302,57
10303,6
10304,5
10305,91
10306,18
10307,14
10308,19
10309,40
10310,6
10311,21
10312,51
10313,14
10314,20
10315,27
10316,20
10317,19
10318,40
10319,62
10320,54
10321,7
10322,62
10323,35
10324,11
10325,91
10326,62
10327,77
10328,53
10329,17
10330,27
10331,71
10332,5
10333,3
10334,96
10335,56
10336,91
10337,11
10338,27
10339,81
10340,48
10341,85
10342,7
10343,1
10344,54
10345,54
10346,16
10347,83
10348,67
10349,19
10350,16
10351,3
10352,74
10353,48
10354,82
10355,44
10356,23
10357,20
10358,57
10359,15
10360,91
10361,23
10362,88
10363,14
10364,64
10365,45
10366,16
10367,53
10368,82
10369,64
10370,19
10371,13
10372,91
10373,71
10374,15
10375,54
10376,36
10377,12
10378,16
10379,40
10380,91
10381,64
10382,5
10383,16
10384,54
10385,78
10386,3
10387,16
10388,10
10389,62
10390,43
10391,91
10392,54
10393,20
10394,98
10395,40
10396,63
10397,51
10398,48
10399,14
10400,11
10401,81
10402,39
10403,79
10404,20
10405,36
10406,19
10407,45
10408,2
10409,56
10410,8
10411,54
10412,82
10413,8
10414,54
10415,55
10416,54
10417,54
10418,1
10419,56
10420,62
10421,44
10422,63
10423,93
10424,92
10425,83
10426,15
10427,23
10428,17
10429,23
10430,91
10431,69
10432,35
10433,42
10434,3
10435,71
10436,74
10437,16
10438,49
10439,19
10440,81
10441,38
10442,7
10443,54
10444,2
10445,54
10446,40
10447,91
10448,35
10449,64
10450,79
10451,74
10452,40
10453,54
10454,45
10455,82
10456,51
10457,64
10458,77
10459,40
10460,86
10461,82
10462,21
10463,64
10464,64
10465,6
10466,16
10467,40
10468,3
10469,48
10470,79
10471,56
10472,71
10473,19
10474,40
10475,11
10476,91
10477,16
10478,82
10479,91
10480,16
10481,93
10482,56
10483,98
10484,11
10485,62
10486,40
10487,82
10488,71
10489,20
10490,71
10491,34
10492,51
10493,26
10494,82
10495,54
10496,35
10497,54
10498,91
10499,14
10500,48
10501,64
10502,62
10503,3
10504,35
10505,32
10506,34
10507,98
10508,15
10509,3
10510,57
10511,83
10512,52
10513,78
10514,39
10515,82
10516,25
10517,20
10518,12
10519,14
10520,35
10521,7
10522,33
10523,81
10524,54
10525,56
10526,93
10527,58
10528,91
10529,81
10530,20
10531,89
10532,82
10533,40
10534,20
10535,77
10536,71
10537,61
10538,59
10539,3
10540,13
10541,25
10542,70
10543,42
10544,85
10545,17
10546,6
10547,51
10548,20
10549,64
10550,6
10551,59
10552,40
10553,40
10554,81
10555,67
10556,12
10557,71
10558,31
10559,1
10560,62
10561,0
10562,55
10563,45
10564,78
10565,19
10566,6
10567,28
10568,20
10569,28
10570,11
10571,27
10572,62
